,NSE_Test,KGE_Test
0,0.6490781605243683,0.47886220474898944
1,0.5186472535133362,0.4222633772021799
2,0.4110913872718811,0.35077042993856467
3,0.35033631324768066,0.3039160668704193
4,0.3144689202308655,0.272553979536192
5,0.2936432957649231,0.2524010760777684
6,0.28020161390304565,0.23874058974097678
7,0.2699061632156372,0.22735187684788694
8,0.26081883907318115,0.21735503124542244
9,0.2523360848426819,0.20821090421900157
10,0.24414831399917603,0.19935279067237432
11,0.23677146434783936,0.19137410505250352
12,0.22960758209228516,0.18445736028765902
13,0.22172003984451294,0.17823257113385893
14,0.21360939741134644,0.17254434520676054
15,0.20576798915863037,0.16745871373811183
16,0.19713789224624634,0.16248664956791037
17,0.1869868040084839,0.1579797581356055
18,0.17575961351394653,0.15401251151302398
19,0.16495531797409058,0.15104928561269726
20,0.15458446741104126,0.1489652261584694
21,0.14515018463134766,0.14773373242354848
22,0.1373177170753479,0.1470633421781533
23,0.13592755794525146,0.1445962808023109
